initial_preference_width,adaptive_tolerance,backfire_rate,seed,initial_mean_extremity,final_mean_extremity,delta_extremity,final_extreme_share,final_opinion_variance,final_backfire_rate_observed,final_acceptance_rate
0.6,False,0.03,3,0.4890296296058673,0.6017808275560622,0.11275119795019489,0.445,0.45823930308471794,0.06315,0.57795
0.6,False,0.03,4,0.5382270372131428,0.6436908013395235,0.1054637641263807,0.51,0.5044955333664732,0.0618,0.59305
0.6,False,0.03,5,0.5029302632833011,0.589962983974338,0.08703272069103685,0.43,0.45302631689369943,0.06265,0.5764
0.6,False,0.03,6,0.5186356672752157,0.6181479921314453,0.09951232485622963,0.495,0.4936506368743983,0.06265,0.59715
0.6,False,0.03,7,0.513637667411623,0.6082384568361734,0.09460078942455041,0.505,0.47263390321457394,0.0601,0.6018
0.6,False,0.03,8,0.5087707013838418,0.6261194238899493,0.1173487225061075,0.475,0.48510604592258383,0.0614,0.58925
0.6,False,0.03,9,0.5037796340055101,0.5982890757577104,0.09450944175220033,0.465,0.4617129345830169,0.0623,0.60235
0.6,False,0.03,10,0.4783554051954107,0.579847634715503,0.10149222952009235,0.445,0.4416539065752585,0.0633,0.57955
0.6,False,0.03,11,0.5245057294818782,0.6262311231045183,0.1017253936226401,0.515,0.4949651906829503,0.063,0.59155
0.6,False,0.03,12,0.5092713362654364,0.6241055626397141,0.11483422637427765,0.495,0.48850981784303227,0.06105,0.5943
0.6,False,0.03,13,0.525746492476239,0.6229353706714307,0.09718887819519173,0.495,0.4767283772077873,0.06115,0.5842
0.6,False,0.03,14,0.49961878918402114,0.5983163778916475,0.09869758870762635,0.44,0.46295665790503615,0.0622,0.5841
0.6,False,0.03,15,0.49128662390873923,0.5878039286968736,0.09651730478813436,0.45,0.44758658048030325,0.06025,0.5862
0.6,False,0.03,16,0.5398227235682644,0.6241152208941324,0.08429249732586797,0.47,0.48119665773498677,0.0577,0.5976
0.6,False,0.03,17,0.501087792958863,0.5967417654324754,0.0956539724736124,0.45,0.4626114305417089,0.0603,0.60155
0.6,False,0.03,18,0.5282595433746189,0.6312068905695924,0.10294734719497356,0.515,0.4996301765116586,0.0592,0.5956
0.6,False,0.03,19,0.4817971947725576,0.5859386848978047,0.10414149012524704,0.415,0.4417173608361225,0.0613,0.5758
0.6,False,0.03,20,0.527119700541352,0.6416881712918674,0.11456847075051535,0.505,0.4964526356536523,0.0611,0.6004
0.85,False,0.03,1,0.5380338813570394,0.7115462195541896,0.17351233819715017,0.615,0.6013513718399731,0.09935,0.5647
0.85,False,0.03,2,0.5039942537498406,0.6728860559806678,0.16889180223082711,0.585,0.5612347224525915,0.1035,0.55785
0.85,False,0.03,3,0.4890296296058673,0.6755064226071282,0.1864767930012609,0.565,0.5523775479697529,0.10435,0.5446
0.85,False,0.03,4,0.5382270372131428,0.7098161942334397,0.17158915702029687,0.6,0.5920338673513017,0.0987,0.55555
0.85,False,0.03,5,0.5029302632833011,0.6693016071448497,0.1663713438615485,0.54,0.5535770503107301,0.10615,0.54965
0.85,False,0.03,6,0.5186356672752157,0.6866403214195611,0.1680046541443454,0.6,0.5773131740382696,0.10305,0.5592
0.85,False,0.03,7,0.513637667411623,0.6681279751453444,0.1544903077337214,0.565,0.5470409799201444,0.1025,0.5598
0.85,False,0.03,8,0.5087707013838418,0.7010116831324282,0.1922409817485864,0.58,0.5840651459298566,0.10155,0.54845
0.85,False,0.03,9,0.5037796340055101,0.6751435876913788,0.17136395368586876,0.565,0.5562191390551164,0.10055,0.5619
0.85,False,0.03,10,0.4783554051954107,0.6310051858375577,0.15264978064214701,0.49,0.506491208138838,0.10075,0.5293
0.85,False,0.03,11,0.5245057294818782,0.6844210015099609,0.15991527202808264,0.605,0.5759364819857683,0.10375,0.5557
0.85,False,0.03,12,0.5092713362654364,0.6782071316901707,0.16893579542473425,0.58,0.5553554078485675,0.1037,0.55445
0.85,False,0.03,13,0.525746492476239,0.6939494309111103,0.16820293843487133,0.59,0.5670056017322396,0.103,0.56225
0.85,False,0.03,14,0.49961878918402114,0.6579557218560919,0.15833693267207072,0.57,0.5388488382333884,0.10425,0.54545
0.85,False,0.03,15,0.49128662390873923,0.6655226842040445,0.17423606029530525,0.58,0.5419222917757702,0.10135,0.55245
0.85,False,0.03,16,0.5398227235682644,0.711408847985492,0.17158612441722754,0.615,0.5920112416446718,0.09805,0.56265
0.85,False,0.03,17,0.501087792958863,0.6610639795714947,0.1599761866126317,0.59,0.5551749319874105,0.10035,0.55685
0.85,False,0.03,18,0.5282595433746189,0.7243632640357107,0.19610372066109183,0.635,0.6155494831884974,0.0988,0.5661
0.85,False,0.03,19,0.4817971947725576,0.6515568565745329,0.16975966180197527,0.545,0.5283133904917164,0.1031,0.5432
0.85,False,0.03,20,0.527119700541352,0.6816828639113175,0.15456316336996545,0.59,0.566022937627499,0.1003,0.56545
1.0,False,0.03,1,0.5380338813570394,0.7508878808390484,0.212853999482009,0.69,0.6551052822734366,0.12,0.558
1.0,False,0.03,2,0.5039942537498406,0.7038956978764892,0.19990144412664856,0.635,0.603776734350781,0.1235,0.54595
1.0,False,0.03,3,0.4890296296058673,0.6969330681719649,0.20790343856609755,0.61,0.5881706232143503,0.1237,0.5387
