initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
0.2,0.2,moderate,18,0.21150799895537178,0.24544163697753058,0.09358224309324827,0.015,0.1263754740717616,0.8442,0.0009,1.3380005074972656
0.2,0.2,moderate,19,0.20880971098367657,0.2599986575428002,0.1035027635398157,0.005,0.12597977020040518,0.8624,0.0005,1.3595668871025735
0.2,0.2,moderate,20,0.18290852156816334,0.22349695461172664,0.07985784008927398,0.0,0.12580300984099155,0.8661,0.00055,1.2873381686534784
0.2,0.4,moderate,1,0.1852177852095641,0.23247472803841113,0.08436604412645421,0.0,0.12634366395054733,0.853,0.0005,1.3361541075400785
0.2,0.4,moderate,2,0.20293445811044944,0.2307425283550191,0.08310573467475145,0.0,0.12614250187255302,0.8502,0.0009,1.3188203985833435
0.2,0.4,moderate,3,0.17773194547874802,0.2111083460202243,0.06283652647665317,0.0,0.1264661393080847,0.8477,0.0006,1.560958630653278
0.2,0.4,moderate,4,0.1893264688226826,0.22919426092989717,0.07842879463830082,0.0,0.12585480449162179,0.8616,0.0007,1.3614718880381962
0.2,0.4,moderate,5,0.20189993746562748,0.22650034870304317,0.07743297099153156,0.0,0.12690737177541844,0.8411,0.00035,1.3979662350854187
0.2,0.4,moderate,6,0.18620619168625352,0.2244922966165949,0.07288556168556194,0.0,0.12643042044312378,0.85155,0.00045,1.4963248302964276
0.2,0.4,moderate,7,0.19077276611833316,0.2225639360299778,0.0760231030441178,0.0,0.1257170029386709,0.8702,0.00045,1.3592924618481705
0.2,0.4,moderate,8,0.20017564240291053,0.22895757851887988,0.075828168941118,0.0,0.12577842355425878,0.86555,0.0006,1.5054970117005197
0.2,0.4,moderate,9,0.20154518989098086,0.2344150602046925,0.0836294640462394,0.0,0.12594714289475747,0.86305,0.0005,1.3830345548119867
0.2,0.4,moderate,10,0.20090503423665795,0.2579996804956497,0.09207238134492567,0.0,0.12606565180535317,0.85725,0.00065,1.5699901978679776
0.2,0.4,moderate,11,0.20462253121668186,0.24596246467222285,0.09097583321770529,0.005,0.12607970041156807,0.8568,0.00065,1.385151304926805
0.2,0.4,moderate,12,0.2138567860976316,0.23193086306839825,0.08443205143620812,0.005,0.12601698218983154,0.86045,0.00055,1.3181313953923472
0.2,0.4,moderate,13,0.1881547799137949,0.21314194933085553,0.07526449298979873,0.0,0.1259299497784398,0.86375,0.0005,1.211948562873393
0.2,0.4,moderate,14,0.20291061387146658,0.2355820174620242,0.08081284314645583,0.0,0.12577128636838933,0.85795,0.001,1.4618083397932917
0.2,0.4,moderate,15,0.18509663616461144,0.20791821455310455,0.06745679361460998,0.0,0.1259450350518926,0.85815,0.00075,1.3383051741380252
0.2,0.4,moderate,16,0.19630366595648255,0.2086473029735849,0.06810023508182454,0.0,0.12570996977221902,0.86835,0.00055,1.334681386863976
0.2,0.4,moderate,17,0.20817085494403084,0.24736820313472507,0.08994953436146311,0.0,0.12644703441311486,0.85195,0.0004,1.4584658588782349
0.2,0.4,moderate,18,0.2140882344219853,0.25102019064937947,0.09488850204074428,0.0,0.12635091585284175,0.85445,0.0004,1.356588652358083
0.2,0.4,moderate,19,0.18844207837915455,0.23220807598561607,0.0819281997985272,0.0,0.12591071451124447,0.86435,0.0005,1.3402462430731146
0.2,0.4,moderate,20,0.1850734498162139,0.2258632936316561,0.07573538197400084,0.0,0.12610430081299384,0.8651,0.0002,1.4372604861406317
0.2,0.6,moderate,1,0.20625786306607313,0.23121780594580352,0.08495251535865203,0.0,0.12557724542021884,0.8648,0.0009,1.2849436928317388
0.2,0.6,moderate,2,0.19194155623774747,0.2226425897722981,0.07319275925981208,0.0,0.1258511021334411,0.85965,0.0008,1.4456684234609158
0.2,0.6,moderate,3,0.21131510944374327,0.23978458822286167,0.08840032232148416,0.0,0.12617051661973394,0.8554,0.0006,1.3651003455505866
0.2,0.6,moderate,4,0.2069777809086051,0.2328060082310147,0.07768902455215543,0.0,0.12603597802523997,0.86,0.00055,1.5099815844070863
0.2,0.6,moderate,5,0.2127614374571473,0.24114384880265485,0.08666122025559585,0.0,0.1262588764845619,0.84695,0.0009,1.4062135311183723
0.2,0.6,moderate,6,0.19452305586250787,0.23626377407053945,0.08013098014896362,0.0,0.1262715344891546,0.8528,0.0006,1.5040425018383603
0.2,0.6,moderate,7,0.19855257122245035,0.2328803022793884,0.0766123764581101,0.0,0.1255266584186177,0.8752,0.00045,1.5528219516221313
0.2,0.6,moderate,8,0.19151113308783002,0.19508004200386103,0.058997764766835506,0.0,0.1257411481968572,0.8695,0.00045,1.346671559423873
0.2,0.6,moderate,9,0.20997002396430026,0.2302712032163201,0.0846716317588976,0.0,0.12585299918055054,0.8639,0.0006,1.2977981383982438
0.2,0.6,moderate,10,0.1947851471922653,0.22275415257759357,0.07615071640852732,0.005,0.12576584679276098,0.8609,0.00085,1.3610485085302568
0.2,0.6,moderate,11,0.20364229977879056,0.24395304989092345,0.08731851890273855,0.0,0.1259069143116548,0.8622,0.0006,1.4527219308617052
0.2,0.6,moderate,12,0.21309338142409762,0.24842752349446165,0.08836668884924954,0.0,0.12583827816963697,0.867,0.00045,1.4760231565936832
0.2,0.6,moderate,13,0.2018028593727791,0.24525239297198465,0.08700662057481098,0.005,0.12533829309612757,0.8761,0.00065,1.4900804211640486
0.2,0.6,moderate,14,0.18590868989726958,0.23162243138666871,0.0792216229277912,0.0,0.12577319979312473,0.86785,0.0005,1.4488900640727125
0.2,0.6,moderate,15,0.20586720755381008,0.2370214684013739,0.07677859451119566,0.0,0.12604441917711173,0.8635,0.00035,1.5787726597360543
0.2,0.6,moderate,16,0.19991183827308248,0.23477202588894175,0.08422237410939265,0.0,0.12574883896370226,0.87215,0.0003,1.358578157396756
0.2,0.6,moderate,17,0.2083343670167171,0.24009356870505769,0.08900577077173732,0.0,0.12647843651907315,0.85125,0.0004,1.3545588844167198
0.2,0.6,moderate,18,0.19526696274840083,0.23261757655758214,0.07903607998214549,0.0,0.125870096933904,0.85825,0.00085,1.4712894072672817
